Тема;Слово;Перевод;Изображение;Определение;Спряжение;Склонение;Примеры;Произношение;Другие
;preferably;Н.лучше,желательно,предпочтительно;;;;;;;
;rather;Н.лучше,охотнее::весьма,в значительной степени::наоборот;;;;;;;
;apart;Н.в стороне,отдельно::врозь,в отдельности::на части,на куски;;;;;;;
;tried(triad);П.испытанный,проверенный,надежный;;;;;;;
;decay,crumble;Г.распадаться,разрушаться;;;;;;;
;claim;Г.требовать,заявлять,утверждать::С.заявление,утверждение;;;;;;;
;perhaps;Н.может быть,возможно,наверное;;;;;;;
;prohibit,inhibit;Г.запрещать,препятствовать,сдерживать;;;;;;;
;precise;П.точный,определенный::строгий,аккуратный;;;;;;;
;purpose;С.назнечение,цель,стремление,замысел::Г.иметь целью,намереваться::предлагать;;;;;;;
;descend;спускаться,сходить вниз;;;;;;;
;ancestor,parent;С.предок,родитель
